# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
60.193720;13.493583;31.086569;-1.026471;-0.007071;7.500000;0.000000
60.393699;13.597037;30.915433;-1.027545;-0.003676;7.500000;0.000000
60.593678;13.700360;30.744231;-1.027941;-0.000279;7.500000;0.000000
60.793657;13.803669;30.573028;-1.027657;0.003119;7.500000;0.000000
60.993637;13.907084;30.401892;-1.026694;0.006516;7.500000;0.000000
61.193616;14.010724;30.230887;-1.025051;0.009912;7.500000;0.000000
61.393595;14.114708;30.060080;-1.022729;0.013307;7.500000;0.000000
61.593574;14.219154;29.889536;-1.019729;0.016698;7.500000;0.000000
61.793553;14.324183;29.719321;-1.016051;0.020084;7.500000;0.000000
61.993532;14.429860;29.549569;-1.011915;0.019574;7.500000;0.000000
62.193511;14.536180;29.380256;-1.008357;0.016014;7.500000;0.000000
62.393491;14.643059;29.211257;-1.005510;0.012460;7.500000;0.000000
62.593470;14.750373;29.042504;-1.003374;0.008909;7.500000;0.000000
62.793449;14.857996;28.873928;-1.001947;0.005362;7.500000;0.000000
62.993428;14.965806;28.705458;-1.001229;0.001816;7.500000;0.000000
63.193407;15.073678;28.537027;-1.001220;-0.001730;7.500000;0.000000
63.393386;15.181488;28.368563;-1.001921;-0.005276;7.500000;0.000000
63.593365;15.289112;28.199998;-1.003331;-0.008824;7.500000;0.000000
63.793344;15.396426;28.031263;-1.005450;-0.012376;7.500000;0.000000
63.993324;15.503352;27.862230;-1.008079;-0.012417;7.500000;0.000000
64.193303;15.609874;27.692913;-1.010307;-0.009856;7.500000;0.000000
64.393282;15.716049;27.523407;-1.012022;-0.007293;7.500000;0.000000
64.593261;15.821965;27.353763;-1.013224;-0.004728;7.500000;0.000000
64.793240;15.927713;27.184034;-1.013913;-0.002161;7.500000;0.000000
64.993219;16.033380;27.014270;-1.014089;0.000406;7.500000;0.000000
65.193198;16.139056;26.844522;-1.013751;0.002974;7.500000;0.000000
65.393178;16.244829;26.674843;-1.012899;0.005543;7.500000;0.000000
65.593157;16.350789;26.505284;-1.011534;0.008111;7.500000;0.000000
65.793136;16.457024;26.335895;-1.009656;0.010678;7.500000;0.000000
65.993115;16.563612;26.166737;-1.007406;0.010867;7.500000;0.000000
66.193094;16.670566;25.997811;-1.005376;0.009441;7.500000;0.000000
66.393073;16.777844;25.829078;-1.003630;0.008015;7.500000;0.000000
66.593052;16.885397;25.660509;-1.002170;0.006589;7.500000;0.000000
66.793032;16.993178;25.492073;-1.000995;0.005164;7.500000;0.000000
66.993011;17.101139;25.323739;-1.000105;0.003739;7.500000;0.000000
67.192990;17.209232;25.155476;-0.999500;0.002314;7.500000;0.000000
67.392969;17.317409;24.987255;-0.999179;0.000890;7.500000;0.000000
67.592948;17.425621;24.819043;-0.999144;-0.000534;7.500000;0.000000
67.792927;17.533821;24.650811;-0.999393;-0.001958;7.500000;0.000000
67.992906;17.641932;24.482580;-0.999823;-0.001694;7.500000;0.000000
68.192885;17.749973;24.314336;-1.000030;-0.000373;7.500000;0.000000
68.392865;17.858006;24.146076;-0.999972;0.000946;7.500000;0.000000
68.592844;17.966075;23.977829;-0.999651;0.002266;7.500000;0.000000
68.792823;18.074226;23.809624;-0.999066;0.003585;7.500000;0.000000
68.992802;18.182501;23.641490;-0.998217;0.004904;7.500000;0.000000
69.192781;18.290945;23.473456;-0.997105;0.006223;7.500000;0.000000
69.392760;18.399602;23.305551;-0.995728;0.007542;7.500000;0.000000
69.592739;18.508516;23.137804;-0.994088;0.008860;7.500000;0.000000
69.792719;18.617732;22.970244;-0.992184;0.010178;7.500000;0.000000
69.992698;18.727265;22.802934;-0.990121;0.009843;7.500000;0.000000
70.192677;18.837118;22.635853;-0.988283;0.008536;7.500000;0.000000
70.392656;18.947259;22.468953;-0.986707;0.007229;7.500000;0.000000
70.592635;19.057646;22.302207;-0.985392;0.005922;7.500000;0.000000
70.792614;19.168233;22.135587;-0.984338;0.004616;7.500000;0.000000
70.992593;19.278977;21.969065;-0.983546;0.003310;7.500000;0.000000
71.192573;19.389833;21.802613;-0.983014;0.002005;7.500000;0.000000
71.392552;19.500758;21.636204;-0.982744;0.000699;7.500000;0.000000
71.592531;19.611706;21.469809;-0.982735;-0.000606;7.500000;0.000000
71.792510;19.722633;21.303401;-0.982987;-0.001912;7.500000;0.000000
71.992489;19.833498;21.136954;-0.983437;-0.002244;7.500000;0.000000
72.192468;19.944288;20.970460;-0.983865;-0.002032;7.500000;0.000000
72.392447;20.055008;20.803923;-0.984250;-0.001819;7.500000;0.000000
72.592426;20.165667;20.637347;-0.984592;-0.001606;7.500000;0.000000
72.792406;20.276271;20.470737;-0.984892;-0.001394;7.500000;0.000000
72.992385;20.386828;20.304098;-0.985150;-0.001181;7.500000;0.000000
73.192364;20.497344;20.137434;-0.985365;-0.000968;7.500000;0.000000
73.392343;20.607827;19.970750;-0.985537;-0.000755;7.500000;0.000000
73.592322;20.718284;19.804051;-0.985667;-0.000543;7.500000;0.000000
73.792301;20.828722;19.637341;-0.985754;-0.000330;7.500000;0.000000
73.992280;20.939149;19.470624;-0.985791;0.000002;7.500000;0.000000
74.192260;21.049576;19.303908;-0.985751;0.000398;7.500000;0.000000
74.392239;21.160017;19.137201;-0.985631;0.000795;7.500000;0.000000
